epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,1267.71,0.55803,0.32996,0.85621,0.75704,0.87354,0.89048,0.68904,0.85312,0.62634,1.00794,0.000258762,0.000258762,0.000258762
110,1279.21,0.5565,0.32735,0.85425,0.81528,0.83478,0.88016,0.70093,0.81513,0.60444,0.99817,0.00025601,0.00025601,0.00025601
111,1290.77,0.5496,0.31662,0.85112,0.76483,0.84527,0.87358,0.68328,0.84319,0.60927,1.00611,0.000253258,0.000253258,0.000253258
112,1302.26,0.53956,0.31456,0.84563,0.79627,0.81766,0.86744,0.68107,0.83575,0.61932,0.99871,0.000250506,0.000250506,0.000250506
113,1313.78,0.54347,0.32161,0.8544,0.82747,0.79224,0.88145,0.68489,0.86261,0.59982,1.01128,0.000247754,0.000247754,0.000247754
114,1325.37,0.5405,0.32465,0.85517,0.79757,0.82158,0.88518,0.68847,0.85556,0.58974,1.01898,0.000245001,0.000245001,0.000245001
115,1336.96,0.53546,0.31824,0.84771,0.79229,0.82911,0.87415,0.67837,0.85098,0.62834,1.01539,0.000242249,0.000242249,0.000242249
116,1348.48,0.53169,0.31547,0.84772,0.84204,0.81932,0.89796,0.71041,0.83869,0.57488,1.00563,0.000239497,0.000239497,0.000239497
117,1360.03,0.54619,0.32181,0.85357,0.81888,0.81496,0.87626,0.69325,0.83106,0.60475,1.00406,0.000236745,0.000236745,0.000236745
118,1371.64,0.52739,0.31234,0.8467,0.84935,0.80154,0.86121,0.67744,0.84615,0.61673,1.01071,0.000233993,0.000233993,0.000233993
119,1383.17,0.51315,0.29919,0.84629,0.77766,0.85612,0.87821,0.68564,0.84002,0.60286,1.0041,0.00023124,0.00023124,0.00023124
120,1394.76,0.5261,0.3109,0.84951,0.80614,0.86075,0.88427,0.68905,0.83924,0.58967,0.99914,0.000228488,0.000228488,0.000228488
121,1406.4,0.5351,0.31279,0.84619,0.76933,0.8497,0.87354,0.67958,0.84967,0.62266,1.00713,0.000225736,0.000225736,0.000225736
122,1418.04,0.52233,0.30417,0.84395,0.79578,0.82466,0.87497,0.68405,0.82949,0.61513,1.00314,0.000222984,0.000222984,0.000222984
123,1429.63,0.52671,0.31145,0.84669,0.77626,0.83921,0.87078,0.6808,0.839,0.62449,0.9977,0.000220232,0.000220232,0.000220232
124,1441.18,0.52667,0.3107,0.84508,0.80848,0.81167,0.87159,0.67919,0.85291,0.65394,1.00853,0.000217479,0.000217479,0.000217479
125,1452.78,0.50708,0.30228,0.84125,0.80779,0.8294,0.88239,0.69893,0.81039,0.57496,1.00551,0.000214727,0.000214727,0.000214727
126,1464.37,0.51078,0.30405,0.84733,0.8075,0.8476,0.88592,0.68265,0.87092,0.62586,1.01291,0.000211975,0.000211975,0.000211975
127,1475.95,0.52389,0.30791,0.84334,0.8174,0.85113,0.89131,0.70104,0.83959,0.59824,1.0039,0.000209223,0.000209223,0.000209223
128,1487.52,0.51261,0.30274,0.84551,0.84435,0.80544,0.88632,0.70138,0.83059,0.60683,1.00371,0.000206471,0.000206471,0.000206471
129,1499.13,0.50546,0.2982,0.84491,0.84627,0.81032,0.88629,0.69055,0.83579,0.58112,1.00711,0.000203718,0.000203718,0.000203718
130,1510.74,0.50569,0.29689,0.8408,0.78684,0.81629,0.87478,0.68916,0.8219,0.59965,1.00175,0.000200966,0.000200966,0.000200966
131,1522.37,0.489,0.28882,0.83389,0.79421,0.85398,0.88665,0.69468,0.8279,0.59051,0.99527,0.000198214,0.000198214,0.000198214
132,1534.02,0.48758,0.29351,0.8354,0.78951,0.86625,0.88807,0.68927,0.85894,0.61091,1.0196,0.000195462,0.000195462,0.000195462
133,1545.62,0.49297,0.29359,0.83784,0.8491,0.82581,0.89504,0.7043,0.83955,0.57811,1.00931,0.00019271,0.00019271,0.00019271
134,1557.34,0.48414,0.28836,0.83454,0.84721,0.84882,0.90079,0.71235,0.81131,0.5578,0.99197,0.000189957,0.000189957,0.000189957
135,1568.87,0.48337,0.29015,0.83471,0.82685,0.82559,0.88451,0.69608,0.83665,0.58595,1.00824,0.000187205,0.000187205,0.000187205
136,1580.42,0.47503,0.28114,0.83676,0.83486,0.83132,0.87872,0.69046,0.82487,0.60455,1.00917,0.000184453,0.000184453,0.000184453
137,1591.97,0.47991,0.28722,0.83663,0.7972,0.83391,0.86649,0.673,0.85157,0.60536,1.01633,0.000181701,0.000181701,0.000181701
138,1603.61,0.47908,0.29072,0.84081,0.83153,0.83066,0.88114,0.69039,0.83379,0.60853,1.00414,0.000178949,0.000178949,0.000178949
139,1615.13,0.47998,0.29074,0.83597,0.80281,0.84483,0.87191,0.68673,0.82783,0.60593,1.00374,0.000176196,0.000176196,0.000176196
140,1626.66,0.47525,0.28887,0.83377,0.82097,0.79465,0.87124,0.67821,0.84019,0.62958,1.01124,0.000173444,0.000173444,0.000173444
141,1638.3,0.46696,0.28844,0.83343,0.81715,0.8467,0.88414,0.69308,0.83417,0.6184,1.01057,0.000170692,0.000170692,0.000170692
142,1649.93,0.46359,0.28121,0.83101,0.82519,0.84378,0.88512,0.69794,0.82279,0.59267,0.9953,0.00016794,0.00016794,0.00016794
143,1661.56,0.47075,0.28762,0.83261,0.78737,0.83771,0.8731,0.6839,0.83591,0.6255,1.00923,0.000165188,0.000165188,0.000165188
144,1673.2,0.45084,0.27909,0.83044,0.77431,0.87956,0.88761,0.69644,0.84179,0.59634,1.00751,0.000162435,0.000162435,0.000162435
145,1684.86,0.45755,0.27666,0.83111,0.82086,0.83422,0.8807,0.69217,0.82947,0.60961,1.01977,0.000159683,0.000159683,0.000159683
146,1696.5,0.44999,0.2712,0.82788,0.77744,0.85137,0.87274,0.6844,0.84471,0.62412,1.01748,0.000156931,0.000156931,0.000156931
147,1708.11,0.44226,0.27031,0.82522,0.81957,0.84205,0.88588,0.69233,0.84453,0.59089,1.0162,0.000154179,0.000154179,0.000154179
148,1719.69,0.45235,0.27607,0.82983,0.81816,0.84008,0.88582,0.69609,0.83204,0.59904,1.01088,0.000151427,0.000151427,0.000151427
149,1731.22,0.44539,0.27325,0.82929,0.81055,0.81815,0.87766,0.68501,0.84742,0.61168,1.01702,0.000148674,0.000148674,0.000148674
150,1742.84,0.45119,0.27781,0.83106,0.816,0.81002,0.87429,0.68876,0.82648,0.62941,1.00102,0.000145922,0.000145922,0.000145922
151,1754.47,0.44013,0.26731,0.82161,0.78511,0.84871,0.8789,0.69487,0.81985,0.62695,1.00464,0.00014317,0.00014317,0.00014317
152,1766.08,0.43906,0.26971,0.83036,0.82804,0.80567,0.87384,0.69131,0.82804,0.62124,1.00692,0.000140418,0.000140418,0.000140418
153,1777.66,0.4483,0.27194,0.82536,0.77958,0.85423,0.87672,0.6874,0.8349,0.61277,1.00482,0.000137666,0.000137666,0.000137666
